           0  0.78700000000000003        1019.9520000000000       -1165.3394611806152       -145.38746118061522     
          50  0.78709393870205158        1020.0737445578588       -1165.4612209955558       -145.38747643769693     
         100  0.78737264159171449        1020.4349435028620       -1165.8224200590478       -145.38747655618579     
         150  0.78783353425967662        1021.0322604005408       -1166.4197371620030       -145.38747676146215     
         200  0.78847215907292389        1021.8599181585093       -1167.2473952235041       -145.38747706499475     
         250  0.78928188745293970        1022.9093261390099       -1168.2968036224895       -145.38747748347964     
         300  0.79025351907971397        1024.1685607273093       -1169.5560387669477       -145.38747803963838     
         350  0.79137473561923721        1025.6216573625313       -1171.0091361260293       -145.38747876349794     
         400  0.79262938322137322        1027.2476806548998       -1172.6351603484748       -145.38747969357496     
         450  0.79399655424628857        1029.0195343031901       -1174.4070151816427       -145.38748087845261     
         500  0.79544943847752247        1030.9024722668692       -1176.2899546449401       -145.38748237807090     
         550  0.79695392192116810        1032.8522828098339       -1178.2397670739435       -145.38748426410962     
         600  0.79846693525476264        1034.8131480901725       -1180.2006347093832       -145.38748661921068     
         650  0.79993460808411443        1036.7152520770123       -1182.1027416089439       -145.38748953193158     
         700  0.80129039157579918        1038.4723474822358       -1183.8598405675521       -145.38749308531624     
         750  0.80245350230346602        1039.9797389852920       -1185.3672363197438       -145.38749733445184     
         800  0.80332834873348435        1041.1135399585958       -1186.5010422254581       -145.38750226686238     
         850  0.80380604135722278        1041.7326295989608       -1187.1201373427100       -145.38750774374921     
         900  0.80376958389715081        1041.6853807307075       -1187.0728941572766       -145.38751342656906     
         950  0.80310461890583573        1040.8235861019632       -1186.2111048192710       -145.38751871730778     
        1000  0.80171705326810316        1039.0253010354618       -1184.4128238071594       -145.38752277169760     
